,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
1,Sennoy,52.1509,46.9631,33.35,94,21,7.92,RU,1647949536
2,Longyearbyen,78.2186,15.6401,17.44,62,75,20.71,SJ,1647949537
6,La Romana,18.4273,-68.9728,70.16,94,20,5.75,DO,1647949539
7,Çermik,38.1361,39.4493,43.47,76,76,7.45,TR,1647949540
9,Agirish,61.9247,63.0231,25.47,95,100,10.38,RU,1647949542
10,Jamestown,42.097,-79.2353,36.01,53,0,8.05,US,1647949539
12,Tasiilaq,65.6145,-37.6368,8.26,54,7,2.15,GL,1647949543
14,Dawlatabad,36.4141,64.9053,59.41,38,100,11.12,AF,1647949545
15,San Patricio,28.017,-97.5169,67.95,51,78,10.54,US,1647949545
16,Bilibino,68.0546,166.4372,5.85,96,100,4.29,RU,1647949546
17,Qaanaaq,77.484,-69.3632,-5.58,90,100,3.85,GL,1647949547
18,Belyy Yar,53.6039,91.3903,37.29,51,0,11.18,RU,1647949547
19,Kapaa,22.0752,-159.319,73.72,84,40,16.11,US,1647949548
21,Fremont,37.5483,-121.9886,59.38,81,20,1.99,US,1647949550
24,Hilo,19.7297,-155.09,73.13,89,75,3.44,US,1647949552
27,Bethel,41.3712,-73.414,41.49,54,0,1.99,US,1647949404
28,Orahovac,42.3994,20.6547,55.26,45,22,13.2,XK,1647949556
31,Narsaq,60.9167,-46.05,8.82,57,40,7.45,GL,1647949558
34,Nikolskoye,59.7035,30.7861,45.88,79,0,7.11,RU,1647949560
36,Nizwá,22.9333,57.5333,91.53,9,0,9.1,OM,1647949561
39,Butaritari,3.0707,172.7902,81.1,79,45,13.4,KI,1647949564
41,Adrar,20.5022,-10.0711,89.82,8,0,10.65,MR,1647949565
42,Sinnamary,5.3833,-52.95,78.33,88,98,9.98,GF,1647949566
43,Katsuura,35.1333,140.3,39.22,85,100,25.46,JP,1647949567
44,Khatanga,71.9667,102.5,-19.05,100,86,4.16,RU,1647949280
45,Araouane,18.9048,-3.5265,88.59,8,6,14.34,ML,1647949568
46,Provideniya,64.3833,-173.3,8.83,88,66,3.78,RU,1647949568
47,Tiksi,71.6872,128.8694,-14.1,99,80,3.33,RU,1647949570
48,Wenling,28.3669,121.36,47.39,86,100,11.83,CN,1647949570
50,Sitka,57.0531,-135.33,46.29,81,100,10.36,US,1647949572
52,Kondopoga,62.2057,34.2614,47.88,93,4,6.42,RU,1647949573
54,Kavaratti,10.5669,72.642,82.47,67,13,12.41,IN,1647949574
57,Quang Ngai,15.1167,108.8,78.06,86,42,8.63,VN,1647949576
59,Novomikhaylovskiy,44.2581,38.8578,49.48,58,6,20.18,RU,1647949578
61,Fairbanks,64.8378,-147.7164,-3.66,62,0,5.75,US,1647949579
64,Amvrosiyivka,47.7935,38.4777,44.94,35,1,14.76,UA,1647949581
65,Rudnichnyy,59.617,52.4703,32.99,88,88,9.86,RU,1647949582
66,Dobra,44.7833,25.7167,61.99,25,3,18.32,RO,1647949583
67,Hobyo,5.3505,48.5268,83.57,61,21,10.27,SO,1647949583
68,Bubaque,11.2833,-15.8333,77.76,51,41,4.9,GW,1647949584
69,Inverness,57.4791,-4.224,48.11,71,0,2.3,GB,1647949398
71,Upernavik,72.7868,-56.1549,-11.06,67,100,5.26,GL,1647949586
72,Torbay,47.6666,-52.7314,34.57,84,75,25.32,CA,1647949528
73,Yerofey Pavlovich,53.9667,121.9667,9.52,94,74,4.25,RU,1647949588
74,Clyde River,70.4692,-68.5914,-16.37,69,0,13.8,CA,1647949588
75,Olafsvik,64.8945,-23.7142,36.63,95,100,17.56,IS,1647949589
76,São Filipe,14.8961,-24.4956,71.17,71,4,13.98,CV,1647949590
77,Ponta do Sol,32.6667,-17.1,66.0,73,99,6.4,PT,1647949590
79,Champerico,14.3,-91.9167,77.9,77,38,5.1,GT,1647949592
80,Gao,16.6362,1.637,96.58,5,7,12.28,ML,1647949593
81,Tuktoyaktuk,69.4541,-133.0374,-24.68,100,52,4.63,CA,1647949593
83,Gushikawa,26.3544,127.8686,66.2,75,100,13.8,JP,1647949595
84,Aksarka,66.5606,67.7975,18.77,94,100,14.5,RU,1647949596
86,Pacific Grove,36.6177,-121.9166,55.24,83,0,3.0,US,1647949580
87,Zhigansk,66.7697,123.3711,-6.25,100,59,3.76,RU,1647949598
88,Dudinka,69.4058,86.1778,2.62,93,100,7.38,RU,1647949598
90,Vila Franca do Campo,37.7167,-25.4333,62.2,70,92,14.38,PT,1647949600
94,Naze,28.3667,129.4833,59.92,79,100,19.24,JP,1647949603
95,Pacifica,37.6138,-122.4869,59.13,84,0,9.22,US,1647949604
97,Saint Paul Harbor,57.79,-152.4072,33.31,60,0,13.8,US,1647949605
98,Barrow,71.2906,-156.7887,-27.38,68,100,9.22,US,1647949606
100,Bjerkvik,68.5597,17.5189,41.0,98,100,8.19,NO,1647949607
101,Russkiy Aktash,55.0384,52.1214,31.87,89,96,13.33,RU,1647949608
103,Keti Bandar,24.1447,67.4497,80.4,58,0,15.35,PK,1647949610
104,Ust'-Ordynskiy,52.805,104.7508,12.34,95,89,3.02,RU,1647949610
105,Van,38.4924,43.3831,34.95,69,40,8.05,TR,1647949611
106,Talnakh,69.4865,88.3972,2.21,91,97,6.31,RU,1647949612
108,Albany,42.6001,-73.9662,31.77,59,3,3.0,US,1647949512
109,Ostrovnoy,68.0531,39.5131,31.51,73,100,32.23,RU,1647949614
111,Hoquiam,46.9809,-123.8893,50.0,97,100,3.44,US,1647949615
114,Esso,55.9333,158.7,7.12,95,100,4.38,RU,1647949617
116,Stornoway,58.2093,-6.3865,56.03,73,20,9.22,GB,1647949618
118,Udachny,66.4167,112.4,-7.87,100,78,3.67,RU,1647949620
119,Hailar,49.2,119.7,8.78,91,8,5.19,CN,1647949621
120,Shenjiamen,29.9576,122.298,47.55,77,100,8.48,CN,1647949622
121,Cabo San Lucas,22.8909,-109.9124,66.51,43,0,2.71,MX,1647949428
123,Lompoc,34.6391,-120.4579,61.12,75,0,8.05,US,1647949624
125,Kumul,42.8,93.45,51.67,35,91,9.26,CN,1647949625
