,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Pilar,-9.5972,-35.9567,75.13,71,97,4.38,BR,1647949535
3,Valparaíso,-33.0393,-71.6273,59.47,69,0,3.44,CL,1647949329
4,Busselton,-33.65,115.3333,63.41,59,1,18.25,AU,1647949538
5,Hermanus,-34.4187,19.2345,78.8,70,99,15.73,ZA,1647949539
8,Hobart,-42.8794,147.3294,57.06,83,75,11.5,AU,1647949541
11,Punta Arenas,-53.15,-70.9167,50.11,71,100,17.27,CL,1647949248
13,Carnarvon,-24.8667,113.6333,80.67,78,73,13.8,AU,1647949544
20,Rikitea,-23.1203,-134.9692,78.24,75,16,12.5,PF,1647949549
22,Saint-Philippe,-21.3585,55.7679,83.79,86,46,10.96,RE,1647949550
23,Mataura,-46.1927,168.8643,54.05,98,51,2.04,NZ,1647949551
25,East London,-33.0153,27.9116,81.54,61,0,10.36,ZA,1647949553
26,Puerto Ayora,-0.7393,-90.3518,78.55,91,93,4.0,EC,1647949553
29,Chui,-33.6971,-53.4616,71.02,72,67,13.02,UY,1647949556
30,Rawson,-43.3002,-65.1023,61.27,46,11,17.43,AR,1647949557
32,Cape Town,-33.9258,18.4232,82.81,47,0,17.27,ZA,1647949558
33,Morondava,-20.2833,44.2833,79.03,78,100,7.99,MG,1647949559
35,Oranjemund,-28.55,16.4333,69.21,77,67,12.17,NA,1647949560
37,Benguela,-12.5763,13.4055,80.46,81,100,4.25,AO,1647949562
38,Avarua,-21.2078,-159.775,73.45,100,100,3.44,CK,1647949563
40,Hithadhoo,-0.6,73.0833,84.0,75,39,16.82,MV,1647949564
49,Owando,-0.4819,15.8999,94.82,36,86,3.87,CG,1647949571
51,Port Elizabeth,-33.918,25.5701,84.09,72,0,13.8,ZA,1647949477
53,Ancud,-41.8697,-73.8203,53.22,85,100,8.52,CL,1647949574
55,Tuatapere,-46.1333,167.6833,56.35,90,11,1.86,NZ,1647949575
56,Ushuaia,-54.8,-68.3,51.46,62,100,17.27,AR,1647949576
58,Ambon City,-3.6954,128.1814,80.74,83,40,4.61,ID,1647949577
60,Bredasdorp,-34.5322,20.0403,74.41,66,98,16.28,ZA,1647949578
62,Airai,-8.9266,125.4092,61.59,95,100,1.5,TL,1647949580
63,Paysandu,-32.3214,-58.0756,63.61,98,100,10.76,UY,1647949580
70,Castro,-24.7911,-50.0119,62.4,80,89,12.8,BR,1647949585
78,Kieta,-6.2167,155.6333,80.38,82,93,2.48,PG,1647949591
82,Cidreira,-30.1811,-50.2056,71.85,74,5,20.94,BR,1647949594
85,Port Alfred,-33.5906,26.891,79.32,65,0,9.78,ZA,1647949597
89,Bluff,-46.6,168.3333,60.01,87,2,6.33,NZ,1647949599
91,Coquimbo,-29.9533,-71.3436,53.33,100,40,4.61,CL,1647949424
92,Touros,-5.1989,-35.4608,83.93,70,93,9.78,BR,1647949601
93,Mount Gambier,-37.8333,140.7667,57.11,88,100,8.05,AU,1647949602
96,Atuona,-9.8,-139.0333,78.44,80,100,14.9,PF,1647949605
99,Rundu,-17.9333,19.7667,82.33,43,66,9.19,NA,1647949607
102,Esperance,-33.8667,121.9,62.44,64,100,10.74,AU,1647949609
107,Sainte-Marie,-20.8968,55.5496,86.13,77,75,13.8,RE,1647949612
110,Sola,-13.8833,167.55,80.98,79,100,12.71,VU,1647949614
112,Teahupoo,-17.8333,-149.2667,71.56,77,70,12.26,PF,1647949616
113,Wonthaggi,-38.6044,145.5913,61.83,86,100,11.95,AU,1647949616
115,Souillac,-20.5167,57.5167,86.38,79,40,6.91,MU,1647949618
117,Acaraú,-2.8856,-40.12,81.16,79,92,11.1,BR,1647949590
122,Geraldton,-28.7667,114.6,72.01,78,0,19.57,AU,1647949623
124,Arraial do Cabo,-22.9661,-42.0278,73.26,83,75,5.75,BR,1647949624
126,Manaus,-3.1019,-60.025,75.69,94,40,4.61,BR,1647949626
128,Keetmanshoop,-26.5833,18.1333,90.52,33,40,13.8,NA,1647949627
131,Iquique,-20.2208,-70.1431,60.84,69,67,2.15,CL,1647949332
132,Nísia Floresta,-6.0911,-35.2086,80.98,70,73,8.9,BR,1647949631
134,Alice Springs,-23.7,133.8833,74.75,29,77,6.91,AU,1647949633
135,Tautira,-17.7333,-149.15,80.74,77,76,12.53,PF,1647949634
136,Mahébourg,-20.4081,57.7,86.29,79,40,6.91,MU,1647949634
140,Ahipara,-35.1667,173.1667,64.76,93,13,6.24,NZ,1647949637
143,Vaini,-21.2,-175.2,78.96,94,100,4.61,TO,1647949640
152,Bambous Virieux,-20.3428,57.7575,86.25,79,40,6.91,MU,1647949646
153,Port Hedland,-20.3167,118.5667,91.45,46,40,8.05,AU,1647949647
154,Grand Gaube,-20.0064,57.6608,86.4,78,94,5.01,MU,1647949647
165,Innisfail,-17.5333,146.0333,74.26,80,87,2.82,AU,1647949528
167,Armidale,-30.5167,151.65,54.73,68,6,3.02,AU,1647949657
169,Iguape,-24.7081,-47.5553,74.5,66,81,10.25,BR,1647949659
174,Swan Hill,-35.3378,143.5544,73.17,48,100,9.13,AU,1647949662
177,Bowen,-20.0167,148.2333,78.33,67,35,11.56,AU,1647949664
180,Mackay,-21.15,149.2,76.98,73,40,4.61,AU,1647949562
183,Yulara,-25.2406,130.9889,87.64,19,35,4.61,AU,1647949668
186,Healesville,-37.65,145.5167,62.22,99,100,3.02,AU,1647949670
189,Duartina,-22.4144,-49.4039,70.05,74,0,12.8,BR,1647949673
191,Codrington,-38.2667,141.9667,60.57,68,100,14.83,AU,1647949674
194,Padang,-0.9492,100.3543,86.05,81,33,0.58,ID,1647949676
195,Victor Harbor,-35.5667,138.6167,64.0,86,58,10.56,AU,1647949677
217,Brightwater,-41.3833,173.1167,65.1,96,99,2.28,NZ,1647949693
218,Manicoré,-5.8092,-61.3003,74.97,94,100,2.73,BR,1647949694
219,Ambanja,-13.6833,48.45,89.53,80,33,4.5,MG,1647949694
221,Gamba,-2.65,10.0,84.79,69,80,7.52,GA,1647949696
222,Tual,-5.6667,132.75,83.89,74,96,10.42,ID,1647949697
223,Sambava,-14.2667,50.1667,83.12,79,41,14.63,MG,1647949698
224,Mossamedes,-15.1961,12.1522,79.43,65,75,13.8,AO,1647949698
226,New Norfolk,-42.7826,147.0587,56.7,64,84,4.0,AU,1647949700
228,São João da Barra,-21.6403,-41.0511,71.69,69,94,12.59,BR,1647949702
234,Angoche,-16.2325,39.9086,83.07,74,32,9.57,MZ,1647949705
239,Kruisfontein,-34.0033,24.7314,81.88,53,43,12.39,ZA,1647949710
242,Isangel,-19.55,169.2667,77.34,89,94,3.87,VU,1647949711
243,Antalaha,-14.9003,50.2788,84.29,70,99,9.91,MG,1647949712
250,Paita,-5.0892,-81.1144,71.73,79,94,12.21,PE,1647949718
251,Antofagasta,-23.65,-70.4,69.22,56,59,3.96,CL,1647949718
265,Kilindoni,-7.9139,39.6668,83.23,73,72,9.73,TZ,1647949728
267,Saldanha,-33.0117,17.9442,93.25,73,25,15.03,ZA,1647949730
270,Sainte-Suzanne,-20.9061,55.6089,86.18,78,75,13.8,RE,1647949733
274,São Desidério,-12.3633,-44.9733,81.07,54,78,8.72,BR,1647949735
278,Swakopmund,-22.6833,14.5333,86.85,78,43,7.0,NA,1647949460
279,Shakawe,-18.3667,21.85,85.28,35,7,7.52,BW,1647949738
280,Cowra,-33.8333,148.6833,74.34,43,97,5.35,AU,1647949739
284,Mar del Plata,-38.0023,-57.5575,67.08,91,100,18.01,AR,1647949742
285,Ambilobe,-13.2,49.05,84.67,80,61,4.92,MG,1647949742
287,Lebu,-37.6167,-73.65,53.1,83,20,16.51,CL,1647949744
288,Sydney,-33.8679,151.2073,74.71,80,0,10.36,AU,1647949515
289,Batemans Bay,-35.7167,150.1833,66.72,81,100,3.6,AU,1647949745
296,Nelson Bay,-32.7167,152.15,72.0,80,66,1.99,AU,1647949750
298,Chake Chake,-5.2459,39.7666,89.62,55,51,9.91,TZ,1647949751
299,Kainantu,-6.2887,145.8655,61.59,96,100,1.45,PG,1647949752
305,Seddon,-37.8068,144.8916,63.75,92,100,5.75,AU,1647949756
307,Pangoa,-12.1167,-73.0,68.02,99,100,1.28,PE,1647949758
316,Te Anau,-45.4167,167.7167,57.06,86,48,0.65,NZ,1647949765
317,Dedza,-14.3779,34.3332,65.89,78,52,3.65,MW,1647949766
320,Lorengau,-2.0226,147.2712,82.26,76,92,6.93,PG,1647949768
327,Bell Ville,-32.6259,-62.6887,64.67,76,43,4.47,AR,1647949774
335,Belmonte,-15.8631,-38.8828,75.81,88,68,7.65,BR,1647949779
336,Mount Isa,-20.7333,139.5,78.57,31,65,0.0,AU,1647949780
340,Maceió,-9.6658,-35.7353,76.44,88,100,6.91,BR,1647949510
342,Christchurch,-43.5333,172.6333,62.01,94,100,4.61,NZ,1647949505
343,Auki,-8.7676,160.7034,79.03,84,85,2.98,SB,1647949784
349,Jauja,-11.7758,-75.4966,49.55,82,97,1.45,PE,1647949788
350,Galesong,-5.3166,119.3661,77.02,85,96,11.16,ID,1647949789
353,Luanda,-8.8368,13.2343,84.2,79,75,6.91,AO,1647949791
354,Pontes e Lacerda,-15.2261,-59.3353,74.77,92,87,1.45,BR,1647949792
359,Gladstone,-23.85,151.25,76.93,69,3,4.61,AU,1647949796
360,Bengkulu,-3.8004,102.2655,80.96,76,59,4.43,ID,1647949796
364,Moree,-29.4667,149.85,71.62,49,0,6.91,AU,1647949799
366,Namatanai,-3.6667,152.4333,80.55,79,90,7.27,PG,1647949801
372,Kavieng,-2.5744,150.7967,82.63,76,76,10.33,PG,1647949805
375,Ibicuí,-14.8417,-39.9867,76.86,74,39,5.79,BR,1647949807
379,Walvis Bay,-22.9575,14.5053,86.95,51,37,11.5,NA,1647949810
383,Caravelas,-17.7125,-39.2481,78.04,88,44,8.43,BR,1647949812
384,Lakes Entrance,-37.8811,147.981,63.16,95,97,1.66,AU,1647949813
388,Santa Cruz de la Sierra,-17.8,-63.1667,75.25,83,63,13.8,BO,1647949817
393,Port Lincoln,-34.7333,135.8667,63.14,87,24,13.51,AU,1647949549
398,Atambua,-9.1061,124.8925,74.5,89,98,3.02,ID,1647949823
402,Pemba,-12.974,40.5178,88.5,55,75,12.66,MZ,1647949828
403,Faanui,-16.4833,-151.75,81.01,72,26,11.3,PF,1647949829
407,Saint-Joseph,-21.3667,55.6167,82.78,86,33,11.92,RE,1647949831
411,Bataiporã,-22.2953,-53.2711,73.04,66,8,12.48,BR,1647949835
414,Paragominas,-2.9667,-47.4833,74.75,95,100,3.15,BR,1647949837
417,Tsaratanana,-16.7833,47.65,85.73,62,30,3.78,MG,1647949839
420,Cap Malheureux,-19.9842,57.6142,85.46,79,94,3.0,MU,1647949842
425,Sananduva,-27.9497,-51.8067,67.82,68,20,12.28,BR,1647949845
432,Pimentel,-6.8367,-79.9342,68.29,83,20,8.05,PE,1647949851
433,Karratha,-20.7377,116.8463,90.39,44,100,22.95,AU,1647949851
438,Diamantino,-14.4086,-56.4461,77.07,84,75,5.91,BR,1647949855
441,Arandis,-22.4167,14.9667,92.34,31,11,4.79,NA,1647949857
444,Juan Lacaze,-34.4342,-57.4381,62.11,85,98,19.22,UY,1647949859
447,Opuwo,-18.0607,13.84,78.51,58,82,14.5,NA,1647949861
453,Tsiroanomandidy,-18.7667,46.0333,78.33,67,92,3.04,MG,1647949865
459,Kaeo,-35.1,173.7833,69.33,96,26,5.77,NZ,1647949869
461,Mitsamiouli,-11.3847,43.2844,86.29,79,75,6.91,KM,1647949871
464,Flinders,-34.5833,150.8552,72.18,87,87,5.01,AU,1647949873
467,Pisco,-13.7,-76.2167,66.25,82,0,8.05,PE,1647949875
469,Taltal,-25.4,-70.4833,64.63,79,21,2.48,CL,1647949877
479,Itacoatiara,-3.1431,-58.4442,73.44,99,100,1.88,BR,1647949884
484,Bagé,-31.3314,-54.1069,67.78,73,0,18.41,BR,1647949888
485,Mayumba,-3.432,10.6554,83.01,78,80,7.54,GA,1647949889
487,Constitución,-35.3333,-72.4167,54.23,79,0,5.28,CL,1647949660
489,Nabire,-3.3667,135.4833,77.74,89,100,1.48,ID,1647949779
492,Lichinga,-13.3128,35.2406,73.49,64,75,4.61,MZ,1647949894
495,Bambanglipuro,-7.95,110.2833,79.43,84,97,4.7,ID,1647949896
497,Departamento de Maldonado,-34.6667,-54.9167,63.79,93,100,11.41,UY,1647949898
498,Paraná,-31.732,-60.5238,67.55,98,100,10.36,AR,1647949705
503,Oriximiná,-1.7656,-55.8661,73.36,95,99,2.33,BR,1647949902
508,Oyón,-10.6681,-76.7731,47.93,80,85,5.03,PE,1647949773
514,Yacuiba,-22.038,-63.6797,73.33,71,58,0.89,BO,1647949910
517,Pinheiro,-2.5214,-45.0825,79.86,90,100,1.83,BR,1647949912
522,Lüderitz,-26.6481,15.1594,75.15,64,4,14.52,NA,1647949915
524,Pangkalanbuun,-2.6833,111.6167,77.45,79,97,1.7,ID,1647949917
528,Codajás,-3.8367,-62.0569,76.33,87,69,2.89,BR,1647949919
534,Beloha,-25.1667,45.05,90.19,29,0,10.29,MG,1647949924
544,Saquarema,-22.92,-42.5103,73.44,78,94,5.48,BR,1647949931
548,Calvinia,-31.4707,19.776,85.82,30,40,6.91,ZA,1647949935
552,Itarantim,-15.6597,-40.0656,77.95,71,25,7.09,BR,1647949937
553,Kawalu,-7.3817,108.2082,74.32,94,100,0.78,ID,1647949938
560,Beitbridge,-22.2167,30.0,85.01,30,0,11.74,ZW,1647949944
564,Manggar,-2.8833,108.2667,81.52,75,95,2.21,ID,1647949947
565,Saint-Pierre,-21.3393,55.4781,84.9,81,20,20.71,RE,1647949947
