,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Pilar,-9.5972,-35.9567,75.13,71,97,4.38,BR,1647949535
1,Sennoy,52.1509,46.9631,33.35,94,21,7.92,RU,1647949536
2,Longyearbyen,78.2186,15.6401,17.44,62,75,20.71,SJ,1647949537
3,Valparaíso,-33.0393,-71.6273,59.47,69,0,3.44,CL,1647949329
4,Busselton,-33.65,115.3333,63.41,59,1,18.25,AU,1647949538
5,Hermanus,-34.4187,19.2345,78.8,70,99,15.73,ZA,1647949539
6,La Romana,18.4273,-68.9728,70.16,94,20,5.75,DO,1647949539
7,Çermik,38.1361,39.4493,43.47,76,76,7.45,TR,1647949540
8,Hobart,-42.8794,147.3294,57.06,83,75,11.5,AU,1647949541
9,Agirish,61.9247,63.0231,25.47,95,100,10.38,RU,1647949542
10,Jamestown,42.097,-79.2353,36.01,53,0,8.05,US,1647949539
11,Punta Arenas,-53.15,-70.9167,50.11,71,100,17.27,CL,1647949248
12,Tasiilaq,65.6145,-37.6368,8.26,54,7,2.15,GL,1647949543
13,Carnarvon,-24.8667,113.6333,80.67,78,73,13.8,AU,1647949544
14,Dawlatabad,36.4141,64.9053,59.41,38,100,11.12,AF,1647949545
15,San Patricio,28.017,-97.5169,67.95,51,78,10.54,US,1647949545
16,Bilibino,68.0546,166.4372,5.85,96,100,4.29,RU,1647949546
17,Qaanaaq,77.484,-69.3632,-5.58,90,100,3.85,GL,1647949547
18,Belyy Yar,53.6039,91.3903,37.29,51,0,11.18,RU,1647949547
19,Kapaa,22.0752,-159.319,73.72,84,40,16.11,US,1647949548
20,Rikitea,-23.1203,-134.9692,78.24,75,16,12.5,PF,1647949549
21,Fremont,37.5483,-121.9886,59.38,81,20,1.99,US,1647949550
22,Saint-Philippe,-21.3585,55.7679,83.79,86,46,10.96,RE,1647949550
23,Mataura,-46.1927,168.8643,54.05,98,51,2.04,NZ,1647949551
24,Hilo,19.7297,-155.09,73.13,89,75,3.44,US,1647949552
25,East London,-33.0153,27.9116,81.54,61,0,10.36,ZA,1647949553
26,Puerto Ayora,-0.7393,-90.3518,78.55,91,93,4.0,EC,1647949553
27,Bethel,41.3712,-73.414,41.49,54,0,1.99,US,1647949404
28,Orahovac,42.3994,20.6547,55.26,45,22,13.2,XK,1647949556
29,Chui,-33.6971,-53.4616,71.02,72,67,13.02,UY,1647949556
30,Rawson,-43.3002,-65.1023,61.27,46,11,17.43,AR,1647949557
31,Narsaq,60.9167,-46.05,8.82,57,40,7.45,GL,1647949558
32,Cape Town,-33.9258,18.4232,82.81,47,0,17.27,ZA,1647949558
33,Morondava,-20.2833,44.2833,79.03,78,100,7.99,MG,1647949559
34,Nikolskoye,59.7035,30.7861,45.88,79,0,7.11,RU,1647949560
35,Oranjemund,-28.55,16.4333,69.21,77,67,12.17,NA,1647949560
36,Nizwá,22.9333,57.5333,91.53,9,0,9.1,OM,1647949561
37,Benguela,-12.5763,13.4055,80.46,81,100,4.25,AO,1647949562
38,Avarua,-21.2078,-159.775,73.45,100,100,3.44,CK,1647949563
39,Butaritari,3.0707,172.7902,81.1,79,45,13.4,KI,1647949564
40,Hithadhoo,-0.6,73.0833,84.0,75,39,16.82,MV,1647949564
41,Adrar,20.5022,-10.0711,89.82,8,0,10.65,MR,1647949565
42,Sinnamary,5.3833,-52.95,78.33,88,98,9.98,GF,1647949566
43,Katsuura,35.1333,140.3,39.22,85,100,25.46,JP,1647949567
44,Khatanga,71.9667,102.5,-19.05,100,86,4.16,RU,1647949280
45,Araouane,18.9048,-3.5265,88.59,8,6,14.34,ML,1647949568
46,Provideniya,64.3833,-173.3,8.83,88,66,3.78,RU,1647949568
47,Tiksi,71.6872,128.8694,-14.1,99,80,3.33,RU,1647949570
48,Wenling,28.3669,121.36,47.39,86,100,11.83,CN,1647949570
49,Owando,-0.4819,15.8999,94.82,36,86,3.87,CG,1647949571
50,Sitka,57.0531,-135.33,46.29,81,100,10.36,US,1647949572
51,Port Elizabeth,-33.918,25.5701,84.09,72,0,13.8,ZA,1647949477
52,Kondopoga,62.2057,34.2614,47.88,93,4,6.42,RU,1647949573
53,Ancud,-41.8697,-73.8203,53.22,85,100,8.52,CL,1647949574
54,Kavaratti,10.5669,72.642,82.47,67,13,12.41,IN,1647949574
55,Tuatapere,-46.1333,167.6833,56.35,90,11,1.86,NZ,1647949575
56,Ushuaia,-54.8,-68.3,51.46,62,100,17.27,AR,1647949576
57,Quang Ngai,15.1167,108.8,78.06,86,42,8.63,VN,1647949576
58,Ambon City,-3.6954,128.1814,80.74,83,40,4.61,ID,1647949577
59,Novomikhaylovskiy,44.2581,38.8578,49.48,58,6,20.18,RU,1647949578
60,Bredasdorp,-34.5322,20.0403,74.41,66,98,16.28,ZA,1647949578
61,Fairbanks,64.8378,-147.7164,-3.66,62,0,5.75,US,1647949579
62,Airai,-8.9266,125.4092,61.59,95,100,1.5,TL,1647949580
63,Paysandu,-32.3214,-58.0756,63.61,98,100,10.76,UY,1647949580
64,Amvrosiyivka,47.7935,38.4777,44.94,35,1,14.76,UA,1647949581
65,Rudnichnyy,59.617,52.4703,32.99,88,88,9.86,RU,1647949582
66,Dobra,44.7833,25.7167,61.99,25,3,18.32,RO,1647949583
67,Hobyo,5.3505,48.5268,83.57,61,21,10.27,SO,1647949583
68,Bubaque,11.2833,-15.8333,77.76,51,41,4.9,GW,1647949584
69,Inverness,57.4791,-4.224,48.11,71,0,2.3,GB,1647949398
70,Castro,-24.7911,-50.0119,62.4,80,89,12.8,BR,1647949585
71,Upernavik,72.7868,-56.1549,-11.06,67,100,5.26,GL,1647949586
72,Torbay,47.6666,-52.7314,34.57,84,75,25.32,CA,1647949528
73,Yerofey Pavlovich,53.9667,121.9667,9.52,94,74,4.25,RU,1647949588
74,Clyde River,70.4692,-68.5914,-16.37,69,0,13.8,CA,1647949588
75,Olafsvik,64.8945,-23.7142,36.63,95,100,17.56,IS,1647949589
76,São Filipe,14.8961,-24.4956,71.17,71,4,13.98,CV,1647949590
77,Ponta do Sol,32.6667,-17.1,66.0,73,99,6.4,PT,1647949590
78,Kieta,-6.2167,155.6333,80.38,82,93,2.48,PG,1647949591
79,Champerico,14.3,-91.9167,77.9,77,38,5.1,GT,1647949592
80,Gao,16.6362,1.637,96.58,5,7,12.28,ML,1647949593
81,Tuktoyaktuk,69.4541,-133.0374,-24.68,100,52,4.63,CA,1647949593
82,Cidreira,-30.1811,-50.2056,71.85,74,5,20.94,BR,1647949594
83,Gushikawa,26.3544,127.8686,66.2,75,100,13.8,JP,1647949595
84,Aksarka,66.5606,67.7975,18.77,94,100,14.5,RU,1647949596
85,Port Alfred,-33.5906,26.891,79.32,65,0,9.78,ZA,1647949597
86,Pacific Grove,36.6177,-121.9166,55.24,83,0,3.0,US,1647949580
87,Zhigansk,66.7697,123.3711,-6.25,100,59,3.76,RU,1647949598
88,Dudinka,69.4058,86.1778,2.62,93,100,7.38,RU,1647949598
89,Bluff,-46.6,168.3333,60.01,87,2,6.33,NZ,1647949599
90,Vila Franca do Campo,37.7167,-25.4333,62.2,70,92,14.38,PT,1647949600
91,Coquimbo,-29.9533,-71.3436,53.33,100,40,4.61,CL,1647949424
92,Touros,-5.1989,-35.4608,83.93,70,93,9.78,BR,1647949601
93,Mount Gambier,-37.8333,140.7667,57.11,88,100,8.05,AU,1647949602
94,Naze,28.3667,129.4833,59.92,79,100,19.24,JP,1647949603
95,Pacifica,37.6138,-122.4869,59.13,84,0,9.22,US,1647949604
96,Atuona,-9.8,-139.0333,78.44,80,100,14.9,PF,1647949605
97,Saint Paul Harbor,57.79,-152.4072,33.31,60,0,13.8,US,1647949605
98,Barrow,71.2906,-156.7887,-27.38,68,100,9.22,US,1647949606
99,Rundu,-17.9333,19.7667,82.33,43,66,9.19,NA,1647949607
100,Bjerkvik,68.5597,17.5189,41.0,98,100,8.19,NO,1647949607
101,Russkiy Aktash,55.0384,52.1214,31.87,89,96,13.33,RU,1647949608
102,Esperance,-33.8667,121.9,62.44,64,100,10.74,AU,1647949609
103,Keti Bandar,24.1447,67.4497,80.4,58,0,15.35,PK,1647949610
104,Ust'-Ordynskiy,52.805,104.7508,12.34,95,89,3.02,RU,1647949610
105,Van,38.4924,43.3831,34.95,69,40,8.05,TR,1647949611
106,Talnakh,69.4865,88.3972,2.21,91,97,6.31,RU,1647949612
107,Sainte-Marie,-20.8968,55.5496,86.13,77,75,13.8,RE,1647949612
108,Albany,42.6001,-73.9662,31.77,59,3,3.0,US,1647949512
109,Ostrovnoy,68.0531,39.5131,31.51,73,100,32.23,RU,1647949614
110,Sola,-13.8833,167.55,80.98,79,100,12.71,VU,1647949614
111,Hoquiam,46.9809,-123.8893,50.0,97,100,3.44,US,1647949615
